POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
PBAT,OCCCC(=O)OCC1=CC=CC=C1C(=O)O,17,5,0.333333333333333,0,1,3.50849035623917,0.458825464992627,0.972679508297668,118.489040258467,3.63718171676164,898.407810464177,0.335593432029413,-0.477630344285844,224.127,2,5
PLA_Blends,CC(O)C(=O)OCC,8,3,0.8,0,0,2.14384457995811,0.330806494753173,0.948097488817013,62.404695826968,5.20253174635764,318.455291091834,0.334147689302956,-0.464078219287178,108.052,1,3
PEKK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2,15,3,0,1,1,2.98557748982032,0.441885653223386,0.970236508858982,97.9123720189158,2.60928470959317,795.080082976073,0.220803273194942,-0.453114938552038,192.129,0,3
PSF,O=S(=O)(c1ccccc1)c2ccccc2,15,3,0,0,2,2.7733044461349,0.270329961497136,0.928514947446077,103.163600709026,3.0242239857153,882.021782819251,0.206086626350025,-0.218514325518306,208.197,0,2
PBI,C1=NC2=CC=CC=C2N1,9,2,0,0,2,1.88896860372393,0.365963993403312,0.952865798938933,61.0297556864382,3.07343452822332,560.586243673617,0.167516745181956,-0.34459658708457,112.091,1,2
PBO,C1=NC2=CC=CC=C2O1,9,2,0,0,2,1.87092160919746,0.370631267823253,0.954104262587593,59.1518973970946,3.00833377963249,475.509890868488,0.181478075002057,-0.443481374432986,114.083,0,2
PI,O=C1NC(=O)C2=CC=CC=C2O1,12,4,0,0,2,2.30338708832443,0.33276743440722,0.942608433524054,73.5434857893527,3.2441448236574,747.624890732482,0.419114537135566,-0.409181567381922,158.092,1,4
PAA,CC(=O)O,4,2,0.5,0,0,1.29799862394657,0.237933893091277,0.891684166593553,29.7665012532644,3.82337845522092,94.7016576673415,0.299684553158214,-0.481433475172105,56.02,1,2
PAN,C=CC#N,4,1,0,0,0,1.44502153702751,0.744939512888579,0.995588902952229,29.3870234064107,4.07280502921978,127.605671048261,0.0905313753738047,-0.193121260786728,50.04,0,1
PVAc,CC(=O)OCC,6,2,0.75,0,0,1.8931355057239,0.540512775725711,0.982259973523028,48.3489087019125,4.62336659939654,224.476228388889,0.302112777726991,-0.466171889974417,80.042,0,2
PHEMA,CC(O)CO,5,2,1,0,0,1.52066646997333,0.15056029897934,0.871598589284009,42.4707072786118,5.06132115453072,176.718177624838,0.210549966655458,-0.393700042197766,68.031,2,2
PEG,OCCO,4,2,1,0,0,1.49592660664985,0.657228854702312,0.991272750474252,33.2958241638795,4.28175676170941,98.3154437621596,0.210155418861107,-0.39399054157546,56.02,2,2
PEO,OCCOCC,6,2,1,0,0,1.91671179250713,0.484904742338517,0.976028225148933,51.8782316125277,4.98639815164083,243.693809390136,0.210155630064083,-0.393980344880252,80.042,1,2
PVP,C1=CC=CN=C1,6,1,0,0,1,1.47764160208474,0.250088874648215,0.869145125773762,43.6759036012826,3.45554648381778,271.164518277589,0.0839777671001783,-0.264736970888988,74.062,0,1
