POLYMER_NAME,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
ABS_Modified,C=CC1=CC=CC=C1C,13.131,118.179,4.5,0.1,2.7958126330731,0,2.63802,0.346285838948137,1,0.111111111111111,0
HIPS_Modified,C=CC1=CC=CC=C1C,13.131,118.179,4.5,0.1,2.7958126330731,0,2.63802,0.346285838948137,1,0.111111111111111,0
ASA_Modified,C=CC#NC,,,,,,,,,,,
SAN_Modified,C=CC#NC,,,,,,,,,,,
PEEK_Modified,O=C1C=CC(=O)C=C1OC2=CC=CC=C2OCC,13.5692222222222,4.55682835820895,6,0.2,3.67419820687165,2.92222222222222,0.4112,0.266980908964876,1.05555555555556,0.111111111111111,10.52
PEI_Modified,O=C1NC(=O)C2=CC=CC=C2O1CC,,,,,,,,,,,
PPS_Modified,C1=CC=C(SC)C=C1,15.526,124.208,4,0.111111111111111,3.16671340794942,0,1.20425,0.305276020701553,1,0.125,0
PSU_Modified,O=S(=O)(c1ccccc1)c2ccccc2C,14.519,6.61081388730791,5.33333333333333,0.111111111111111,3.62562585059495,2.13375,0.942606666666667,0.27034598635257,1.0625,0.125,11.38
PES_Modified,O=S(=O)(c1ccc(cc1))c2ccc(cc2)C,14.519,6.61081388730791,5.33333333333333,0.111111111111111,3.62562585059495,2.13375,0.942606666666667,0.27034598635257,1.0625,0.125,11.38
TPE_Modified,CCOCCOC,14.8784285714286,5.35195272353546,7,0.571428571428571,3.54622220708911,2.63714285714286,0.2231,0.26979809603515,0.857142857142857,0,3.692
TPO_Modified,CCCCOC,14.6916666666667,8.61681329423265,6,0.5,3.17268931759286,1.53833333333333,0.71645,0.300437464946719,0.833333333333333,0,2.3075
EVA_Modified,CCOCCOC,14.8784285714286,5.35195272353546,7,0.571428571428571,3.54622220708911,2.63714285714286,0.2231,0.26979809603515,0.857142857142857,0,3.692
PCL_Modified,OCCCCCC(=O)OCC,14.5648181818182,3.37077635177782,11,0.545454545454545,3.70976779942019,4.23,0.22044,0.261683611123173,0.909090909090909,0,6.64714285714286
PBS_Modified,OCCCC(=O)OCCCC(=O)OCC,14.5499333333333,2.95610185561425,15,0.533333333333333,4.0307650824256,4.85533333333333,0.0922,0.242399281182583,0.933333333333333,0,8.09222222222222
PBAT_Modified,OCCCC(=O)OCC1=CC=CC=C1C(=O)OCC,14.0154210526316,3.60684003792496,9.5,0.35,3.83076575611061,3.83315789473684,0.239857142857143,0.25632657795004,1,0.0526315789473684,9.10375
PHB_Modified,CC(O)C(=O)OCCC,14.6843333333333,2.78053860719546,9,0.333333333333333,3.89495679441687,5.17,0.06408,0.247304350438198,0.888888888888889,0,11.6325
PHBV_Modified,CC(O)C(=O)OCCCC,14.6186,3.07565747948664,10,0.4,3.79233056101775,4.653,0.1421,0.255104425692661,0.9,0,9.306
